,Breeder ID,Animal ID,Age,Section Key,Breeder ID.1,Animal ID.1,Sex,Age.1,Date of Surgery,Ab,animal_id,Cell,image_id,tmem_norm,cd68_norm,tmem_status,cd68_status
0,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1,B11,1,B11_1_MIP,0.08598168425568714,0.08663530380591816,mid,high
1,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1,B11,2,B11_1_MIP,0.13604255332329745,0.14367864156460436,mid,high
2,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1,B11,3,B11_1_MIP,0.12817775131589806,0.07599123513845016,mid,high
3,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1,B11,4,B11_1_MIP,0.11650370120402216,0.06011174933160758,mid,high
4,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1,B11,1,B11_2_MIP,0.18043236214607028,0.046286913056410264,high,high
5,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1,B11,2,B11_2_MIP,0.2726137808702606,0.0950798990422654,high,high
6,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1,B11,3,B11_2_MIP,0.1791551031160486,0.09431337930804826,high,high
7,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1,B11,4,B11_2_MIP,0.10449935743561041,0.07032035778628278,mid,high
8,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1,B11,1,B11_3_MIP,0.12525741748653968,0.07955698883480791,mid,high
9,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1,B11,2,B11_3_MIP,0.10259090700883293,0.09407607130374869,mid,high
10,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1,B11,3,B11_3_MIP,0.11876487645139246,0.07580436319995414,mid,high
11,W(22),F3,P17,B11,W(22),F3,Female,P15,12/18/2022,a-CSF1,B11,4,B11_3_MIP,0.1346086233391041,0.07506909339672485,mid,high
12,W(28),F1.1,P17,B24,W(28),F1,Female,P15,1/11/2023,a-CSF1,B24,1,B24_1_MIP,0.0725491661074971,0.015498857292184642,mid,high
13,W(28),F1.1,P17,B24,W(28),F1,Female,P15,1/11/2023,a-CSF1,B24,2,B24_1_MIP,0.09933169133598549,0.020579005112998483,mid,high
14,W(28),F1.1,P17,B24,W(28),F1,Female,P15,1/11/2023,a-CSF1,B24,3,B24_1_MIP,0.09845824884926346,0.023929697163148855,mid,high
15,W(28),F1.1,P17,B24,W(28),F1,Female,P15,1/11/2023,a-CSF1,B24,4,B24_1_MIP,0.06579751618370237,0.031783423699907457,mid,high
16,W(28),F1.1,P17,B24,W(28),F1,Female,P15,1/11/2023,a-CSF1,B24,1,B24_2_MIP,0.04976711717866991,-0.010859743844785733,low,low
17,W(28),F1.1,P17,B24,W(28),F1,Female,P15,1/11/2023,a-CSF1,B24,2,B24_2_MIP,0.006990569086795614,-0.04629546528657183,low,low
18,W(28),F1.1,P17,B24,W(28),F1,Female,P15,1/11/2023,a-CSF1,B24,3,B24_2_MIP,0.05108400867663128,-0.015470588637809951,mid,low
19,W(28),F1.1,P17,B24,W(28),F1,Female,P15,1/11/2023,a-CSF1,B24,4,B24_2_MIP,0.04800551242988341,0.003788180575144545,low,mid
20,W(28),F1.1,P17,B24,W(28),F1,Female,P15,1/11/2023,a-CSF1,B24,1,B24_3_MIP,0.14789500806223715,-0.018272852702096165,mid,low
21,W(28),F1.1,P17,B24,W(28),F1,Female,P15,1/11/2023,a-CSF1,B24,2,B24_3_MIP,0.058292158451014264,-0.006134695554228339,mid,low
22,W(28),F1.1,P17,B24,W(28),F1,Female,P15,1/11/2023,a-CSF1,B24,3,B24_3_MIP,0.08075392790086527,-0.02557656864441786,mid,low
23,W(28),F1.1,P17,B24,W(28),F1,Female,P15,1/11/2023,a-CSF1,B24,4,B24_3_MIP,0.06323687589049808,-0.016133682631493382,mid,low
24,W(25),F1.1,P17,B26,W(25)-3,F1,Female,P15,1/10/2023,a-CSF1,B26,1,B26_1_MIP,0.18245399846556193,-0.024983424123450948,high,low
25,W(25),F1.1,P17,B26,W(25)-3,F1,Female,P15,1/10/2023,a-CSF1,B26,2,B26_1_MIP,0.23501758728467753,0.008005072074927982,high,mid
26,W(25),F1.1,P17,B26,W(25)-3,F1,Female,P15,1/10/2023,a-CSF1,B26,3,B26_1_MIP,0.14536907827538093,-0.004327552473709181,mid,low
27,W(25),F1.1,P17,B26,W(25)-3,F1,Female,P15,1/10/2023,a-CSF1,B26,4,B26_1_MIP,0.2771930957300275,-0.04088174526008752,high,low
28,W(25),F1.1,P17,B26,W(25)-3,F1,Female,P15,1/10/2023,a-CSF1,B26,1,B26_2_MIP,0.16005193441092375,-0.009199976658691711,high,low
29,W(25),F1.1,P17,B26,W(25)-3,F1,Female,P15,1/10/2023,a-CSF1,B26,2,B26_2_MIP,0.18967215244235422,-0.028559082546432052,high,low
30,W(25),F1.1,P17,B26,W(25)-3,F1,Female,P15,1/10/2023,a-CSF1,B26,3,B26_2_MIP,0.2971721088040028,-0.024633524008778274,high,low
31,W(25),F1.1,P17,B26,W(25)-3,F1,Female,P15,1/10/2023,a-CSF1,B26,4,B26_2_MIP,0.24369998497557396,0.008754384021295247,high,mid
32,W(25),F1.1,P17,B26,W(25)-3,F1,Female,P15,1/10/2023,a-CSF1,B26,1,B26_3_MIP,0.16161538974773362,-0.010850926360485944,high,low
33,W(25),F1.1,P17,B26,W(25)-3,F1,Female,P15,1/10/2023,a-CSF1,B26,2,B26_3_MIP,0.223445665647697,-0.05088985463517662,high,low
34,W(25),F1.1,P17,B26,W(25)-3,F1,Female,P15,1/10/2023,a-CSF1,B26,3,B26_3_MIP,0.12932870152246478,-0.001927757016282755,mid,low
35,W(25),F1.1,P17,B26,W(25)-3,F1,Female,P15,1/10/2023,a-CSF1,B26,4,B26_3_MIP,0.1601891879520622,-0.0031178642742279716,high,low
36,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,1,B30_1_MIP,0.07872350538415541,-0.008586012990510913,mid,low
37,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,2,B30_1_MIP,0.12724277889427432,-0.0004124469664131547,mid,low
38,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,3,B30_1_MIP,0.13143735037742119,0.015645940002061792,mid,high
39,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,4,B30_1_MIP,0.05836218986513056,-0.0017666276294321104,mid,low
40,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,1,B30_2_MIP,0.10261614524708557,-0.017733454674149357,mid,low
41,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,2,B30_2_MIP,0.1528093675290507,-0.012044574807329428,high,low
42,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,3,B30_2_MIP,0.13555064470259603,-0.038776914294640474,mid,low
43,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,4,B30_2_MIP,0.18611065586632308,-0.029771846809935096,high,low
44,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,1,B30_3_MIP,0.10216273234548792,-0.07186263372738962,mid,low
45,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,2,B30_3_MIP,0.05632484534793408,-0.03566894314646067,mid,low
46,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,3,B30_3_MIP,0.06083924145483889,-0.02309147703543256,mid,low
47,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,4,B30_3_MIP,0.047180110542851206,-0.01197240409324049,low,low
48,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120,B02,1,B02_1_MIP,0.053961392033646444,-0.02908591209450495,mid,low
49,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120,B02,2,B02_1_MIP,0.06822274528391656,-0.007691520475710839,mid,low
50,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120,B02,3,B02_1_MIP,0.024541295944611186,-0.038161780212163154,low,low
51,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120,B02,4,B02_1_MIP,0.08952666437665044,-0.04878271323987203,mid,low
52,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120,B02,1,B02_2_MIP,0.00033219645293315614,-0.00648431105047749,low,low
53,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120,B02,2,B02_2_MIP,0.023284295448000814,-0.02194027573341717,low,low
54,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120,B02,3,B02_2_MIP,0.04392305846365574,0.007460541875196958,low,mid
55,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120,B02,4,B02_2_MIP,0.09978304600600243,-0.0034047652677096363,mid,low
56,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120,B02,1,B02_3_MIP,0.03569256686229627,0.0022900098208110675,low,mid
57,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120,B02,2,B02_3_MIP,0.030303856504543564,-0.02186357624532624,low,low
58,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120,B02,3,B02_3_MIP,0.06451281562405803,-0.004877986558347522,mid,low
59,W(22),F2,P17,B02,W(22),F2,Female,P15,12/18/2022,a-gp120,B02,4,B02_3_MIP,0.07169072078805294,-0.0008922229907574603,mid,low
60,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120,B12,1,B12_1_MIP,0.026599103388139034,-0.01292799184429709,low,low
61,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120,B12,2,B12_1_MIP,0.027039566225428358,-0.017693436474686637,low,low
62,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120,B12,3,B12_1_MIP,0.09298655763490528,0.016026694347679254,mid,high
63,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120,B12,4,B12_1_MIP,0.1088517440316623,-0.01456226198345148,mid,low
64,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120,B12,1,B12_2_MIP,0.14728901989541154,-0.0419305159706343,mid,low
65,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120,B12,2,B12_2_MIP,0.14064917239534258,-0.019069802607856123,mid,low
66,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120,B12,3,B12_2_MIP,0.16218432811271838,-0.05420457025363187,high,low
67,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120,B12,4,B12_2_MIP,0.1934538880692609,-0.019027304938885964,high,low
68,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120,B12,1,B12_3_MIP,0.18686484828900599,-0.07544003112696768,high,low
69,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120,B12,2,B12_3_MIP,0.10087700035683893,-0.019084936821205392,mid,low
70,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120,B12,3,B12_3_MIP,0.15422234092803214,-0.04680285685315845,high,low
71,W(22),F1,P17,B12,W(22),F1,Female,P15,12/18/2022,a-gp120,B12,4,B12_3_MIP,0.14577177829171978,-0.05684539261496829,mid,low
72,W(28),F3.1,P17,B27,W(28),F3,Female,P15,1/11/2023,a-gp120,B27,1,B27_1_MIP,0.1264092170732123,-0.0869921359050691,mid,low
73,W(28),F3.1,P17,B27,W(28),F3,Female,P15,1/11/2023,a-gp120,B27,2,B27_1_MIP,0.10094910291781216,-0.027441485858929582,mid,low
74,W(28),F3.1,P17,B27,W(28),F3,Female,P15,1/11/2023,a-gp120,B27,3,B27_1_MIP,0.13637073408845177,-0.05880029602880506,mid,low
75,W(28),F3.1,P17,B27,W(28),F3,Female,P15,1/11/2023,a-gp120,B27,4,B27_1_MIP,0.12593137190589745,-0.05076058885209771,mid,low
76,W(28),F3.1,P17,B27,W(28),F3,Female,P15,1/11/2023,a-gp120,B27,1,B27_2_MIP,0.1730595287484552,-0.03304375488352118,high,low
77,W(28),F3.1,P17,B27,W(28),F3,Female,P15,1/11/2023,a-gp120,B27,2,B27_2_MIP,0.16310433252025988,-0.03273439896593727,high,low
78,W(28),F3.1,P17,B27,W(28),F3,Female,P15,1/11/2023,a-gp120,B27,3,B27_2_MIP,0.07380865533922149,-0.03679574727808012,mid,low
79,W(28),F3.1,P17,B27,W(28),F3,Female,P15,1/11/2023,a-gp120,B27,4,B27_2_MIP,0.09515865838374535,-0.04070011521866582,mid,low
80,W(28),F3.1,P17,B27,W(28),F3,Female,P15,1/11/2023,a-gp120,B27,1,B27_3_MIP,0.14838752721353485,-0.021359507555662627,mid,low
81,W(28),F3.1,P17,B27,W(28),F3,Female,P15,1/11/2023,a-gp120,B27,2,B27_3_MIP,0.16399859963492971,-0.028263338303119834,high,low
82,W(28),F3.1,P17,B27,W(28),F3,Female,P15,1/11/2023,a-gp120,B27,3,B27_3_MIP,0.1033719524237901,-0.00984536060134586,mid,low
83,W(28),F3.1,P17,B27,W(28),F3,Female,P15,1/11/2023,a-gp120,B27,4,B27_3_MIP,0.09906979904655297,0.0006923756423965755,mid,mid
84,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,1,B29_1_MIP,0.19476478103540515,0.01729306069000132,high,high
85,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,2,B29_1_MIP,0.1419499619364369,0.03120373151567933,mid,high
86,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,3,B29_1_MIP,0.3111829577308821,0.004687159600100466,high,mid
87,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,4,B29_1_MIP,0.22208677109817104,0.025032067579758857,high,high
88,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,1,B29_2_MIP,0.4148246261455028,0.022213828288275284,high,high
89,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,2,B29_2_MIP,0.2748908511965335,-9.609272649682699e-05,high,low
90,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,3,B29_2_MIP,0.3841371388470042,-0.05367191638939908,high,low
91,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,4,B29_2_MIP,0.27570520606560395,-0.023667566453973388,high,low
92,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,1,B29_1_MIP,0.2566952551090472,0.02077436223494386,high,high
93,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,2,B29_1_MIP,0.31172339582436914,0.008641045034801662,high,mid
94,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,3,B29_1_MIP,0.18344981321288467,0.00911848768258186,high,mid
95,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,4,B29_1_MIP,0.33118797657878846,0.004531675636808341,high,mid
96,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,1,B29_2_MIP,0.39791959011846095,0.00288973011780827,high,mid
97,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,2,B29_2_MIP,0.3131905327304685,-0.004685394920424246,high,low
98,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,3,B29_2_MIP,0.24284202995061657,-0.04146879549094151,high,low
99,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,4,B29_2_MIP,0.3171056399619204,-0.04203284158083971,high,low
100,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,1,B29_3_MIP,0.3502258465140525,-0.06525887271320896,high,low
101,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,2,B29_3_MIP,0.38731385177307154,-0.06034277881867872,high,low
102,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,3,B29_3_MIP,0.40940984062069624,-0.10436066921964468,high,low
103,W(25),F4.1,P17,B29,W(25)-3,F4,Female,P15,1/10/2023,a-gp120,B29,4,B29_3_MIP,0.22907293475426752,-0.06484352896142731,high,low
104,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34,B01,1,B01_1_MIP,0.03102263332152961,0.021378634138357493,low,high
105,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34,B01,2,B01_1_MIP,0.016873450358929336,0.006128695179031848,low,mid
106,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34,B01,3,B01_1_MIP,0.026969749166958698,0.014695977049044018,low,high
107,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34,B01,4,B01_1_MIP,0.023199026573408894,0.0208112572584555,low,high
108,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34,B01,1,B01_2_MIP,-0.0004641540664343524,0.010044743838584794,low,high
109,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34,B01,2,B01_2_MIP,0.026985282543680156,-0.0004918935935778329,low,low
110,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34,B01,3,B01_2_MIP,-0.01747098021368461,0.009651517555202077,low,mid
111,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34,B01,4,B01_2_MIP,0.020121640596773543,0.002358450438512655,low,mid
112,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34,B01,1,B01_3_MIP,0.045237418075482906,0.005589958658661333,low,mid
113,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34,B01,2,B01_3_MIP,0.023409948405148012,0.034838619582104144,low,high
114,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34,B01,3,B01_3_MIP,0.018532154804307296,0.007034966720482302,low,mid
115,W(26),F2,P17,B01,W(26),F2,Female,P15,12/8/2022,a-IL34,B01,4,B01_3_MIP,0.016203404619770073,0.004105474093845721,low,mid
116,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34,B10,1,B10_1_MIP,0.036256499951999574,0.016968025549579324,low,high
117,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34,B10,2,B10_1_MIP,0.12086288792389879,0.017049072293606027,mid,high
118,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34,B10,3,B10_1_MIP,0.12302931669604776,0.005324198875077443,mid,mid
119,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34,B10,4,B10_1_MIP,0.04868893262695101,0.040557571804372056,low,high
120,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34,B10,1,B10_2_MIP,0.041688747461740394,-0.005488212569956921,low,low
121,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34,B10,2,B10_2_MIP,0.027660472186559065,0.011718735451342888,low,high
122,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34,B10,3,B10_2_MIP,0.06316796042319989,-0.013150421952594873,mid,low
123,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34,B10,4,B10_2_MIP,0.021394356420035447,-0.003143158203324857,low,low
124,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34,B10,1,B10_3_MIP,0.017929700753638173,0.005650535707578966,low,mid
125,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34,B10,2,B10_3_MIP,0.01763652000129442,0.007450453162626339,low,mid
126,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34,B10,3,B10_3_MIP,0.02834831910120176,0.005424939067263282,low,mid
127,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34,B10,4,B10_3_MIP,-0.007586918198509242,-0.010185137774396717,low,low
128,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,1,B14_1_MIP,0.09479765766091096,0.007441302262470903,mid,mid
129,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,2,B14_1_MIP,0.022602749070694338,0.005077119187483936,low,mid
130,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,3,B14_1_MIP,0.030426463467280725,0.011260878359108748,low,high
131,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,4,B14_1_MIP,0.11482250428386229,0.018616795284775167,mid,high
132,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,1,B14_2_MIP,0.05226892367557508,-0.006487018905791259,mid,low
133,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,2,B14_2_MIP,0.05421875374253941,0.012835794245798005,mid,high
134,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,3,B14_2_MIP,0.11788842678566552,0.001500512037018703,mid,mid
135,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,4,B14_2_MIP,0.06791940366368737,0.005017212024980143,mid,mid
136,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,1,B14_3_MIP,0.036383005506883136,0.009429903258474037,low,mid
137,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,2,B14_3_MIP,0.016346883847067332,0.00737934901225671,low,mid
138,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,3,B14_3_MIP,0.01732643583242089,0.001150017519798159,low,mid
139,W(22),F4,P17,B14,W(22),F4,Female,P15,12/18/2022,a-IL34,B14,4,B14_3_MIP,0.025360702436699856,0.0014205964457477335,low,mid
140,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,1,B28_1_MIP,0.11764897710720262,-0.037751426852889985,mid,low
141,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,2,B28_1_MIP,0.17429238131238653,-0.03386631469196677,high,low
142,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,3,B28_1_MIP,0.18931488522563084,-0.049891574546401876,high,low
143,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,4,B28_1_MIP,0.1895655775324108,-0.05697587537221048,high,low
144,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,1,B28_2_MIP,0.04000640081875713,-0.025495453750019784,low,low
145,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,2,B28_2_MIP,0.03802263689114728,-0.022328445048322043,low,low
146,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,3,B28_2_MIP,0.011160002776406025,-0.0027025748513318654,low,low
147,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,4,B28_2_MIP,-0.014776846594684562,-0.021282224807453648,low,low
148,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,1,B28_3_MIP,0.09679335538827316,-0.07232444203047093,mid,low
149,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,2,B28_3_MIP,0.029920045023190817,-0.028544605950047555,low,low
150,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,3,B28_3_MIP,0.08239556338758162,-0.05214937286202964,mid,low
151,W(25),F3.1,P17,B28,W(25)-3,F3,Female,P15,1/10/2023,a-IL34,B28,4,B28_3_MIP,5.9590212602850245e-05,-0.06662829987512899,low,low
152,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,1,B32_1_MIP,0.038696456391041786,0.010283104674537608,low,high
153,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,2,B32_1_MIP,0.040106858964668396,0.015117294410436792,low,high
154,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,3,B32_1_MIP,0.07296418715473153,0.01138259507955746,mid,high
155,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,4,B32_1_MIP,0.06581943556272861,0.01118419494435817,mid,high
156,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,1,B32_2_MIP,0.04556360031158105,0.010534113735284914,low,high
157,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,2,B32_2_MIP,0.04918629871732763,0.010089369490879158,low,high
158,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,3,B32_2_MIP,0.027942345920483003,0.00197108988289689,low,mid
159,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,4,B32_2_MIP,0.07434119305369238,0.007211253888761877,mid,mid
160,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,1,B32_3_MIP,0.06079301009760874,0.007607544628417742,mid,mid
